reel_1,reel_2,reel_3,reel_4,reel_5,reel_6
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,MINI,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,MINI,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,MINI
COIN,COIN,MINI,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
MINI,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,MINI,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,MINOR,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,MINOR,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,MINOR,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,MINOR
COIN,COIN,COIN,COIN,COIN,COIN
MINOR,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,MINOR,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,MAJOR,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,MAJOR,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
MAJOR,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,GRAND,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,GRAND,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
COIN,COIN,COIN,COIN,COIN,COIN
